Timestep,Traffic_Light_ID,State,Phase_Duration,Traffic_Light_1_2,Traffic_Light_3_4,Zebra_Crossing_Light
90,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
91,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
91,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
92,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
92,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
93,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
93,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
94,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
94,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
95,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
95,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
96,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
96,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
97,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
97,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
98,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
98,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
99,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
99,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
100,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
100,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
101,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
101,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
102,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
102,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
103,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
103,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
104,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
104,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
105,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
105,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
106,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
106,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
107,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
107,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
108,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
108,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
109,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
109,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
110,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
110,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
111,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
111,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
112,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
112,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
113,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
113,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
114,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
114,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
115,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
115,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
116,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
116,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
117,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
117,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
118,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
118,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
119,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
119,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
120,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
120,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
121,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
121,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
122,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
122,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
123,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
123,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
124,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
124,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
125,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
125,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
126,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
126,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
127,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
127,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
128,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
128,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
129,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
129,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
130,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
130,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
131,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
131,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
132,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
132,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
133,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
133,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
134,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
134,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
135,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
135,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
136,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
136,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
137,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
137,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
138,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
138,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
139,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
139,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
140,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
140,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
141,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
141,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
142,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
142,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
143,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
143,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
144,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
144,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
145,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
145,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
146,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
146,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
147,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
147,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
148,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
148,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
149,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
149,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
150,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
150,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
151,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
151,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
152,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
152,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
153,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
153,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
154,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
154,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
155,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
155,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
156,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
