Vehicle_ID,Depart_Time,Arrival_Time,Duration,Waiting_Time,Time_Loss,Distance_Traveled
veh37.5,482.0,533.0,51.0,0.0,8.31,463.84
veh23.8,260.0,535.0,275.0,77.0,151.36,2224.48
veh38.7,344.0,535.0,191.0,17.0,52.6,1558.3
veh39.8,382.0,535.0,153.0,38.0,81.61,1057.72
veh53.8,500.0,535.0,35.0,0.0,11.41,316.97
veh42.6,374.0,536.0,162.0,58.0,114.46,987.53
veh37.7,489.0,537.0,48.0,0.0,8.54,463.84
veh38.8,346.0,537.0,191.0,17.0,90.59,1558.3
veh53.9,503.0,537.0,34.0,0.0,10.16,316.97
veh23.9,267.0,539.0,272.0,69.0,142.11,2224.48
veh38.9,348.0,540.0,192.0,16.0,65.27,1558.3
veh23.7,252.0,546.0,294.0,89.0,158.35,2235.72
veh42.7,376.0,551.0,175.0,71.0,119.18,987.53
veh42.8,378.0,554.0,176.0,67.0,114.9,987.53
veh49,429.0,555.0,126.0,0.0,22.68,1554.58
veh42.9,380.0,556.0,176.0,62.0,117.76,987.53
veh49.1,432.0,558.0,126.0,0.0,36.07,1554.58
veh49.2,435.0,560.0,125.0,0.0,38.79,1554.58
veh48,421.0,561.0,140.0,0.0,22.4,1374.98
veh48.1,424.0,563.0,139.0,0.0,22.93,1374.98
veh49.3,438.0,564.0,126.0,0.0,26.77,1554.58
veh54,473.0,566.0,93.0,0.0,23.61,1037.37
veh54.1,473.0,570.0,97.0,0.0,25.65,1037.37
veh54.2,476.0,571.0,95.0,0.0,24.85,1037.37
veh50,438.0,572.0,134.0,0.0,25.45,1660.06
veh49.4,442.0,573.0,131.0,0.0,25.4,1554.58
veh49.5,445.0,576.0,131.0,0.0,26.99,1554.58
veh48.2,427.0,580.0,153.0,0.0,21.05,1374.98
veh54.3,476.0,580.0,104.0,0.0,20.26,1037.37
veh54.5,479.0,581.0,102.0,0.0,19.38,1037.37
veh48.3,430.0,582.0,152.0,0.0,23.39,1374.98
veh49.6,448.0,583.0,135.0,5.0,37.49,1554.58
veh48.4,433.0,584.0,151.0,0.0,44.53,1374.98
veh48.5,445.0,586.0,141.0,0.0,37.47,1374.98
veh52,455.0,593.0,138.0,0.0,32.72,1601.24
veh52.1,456.0,596.0,140.0,0.0,31.72,1601.24
veh52.2,457.0,598.0,141.0,0.0,37.94,1601.24
veh55,482.0,601.0,119.0,3.0,23.68,1185.89
veh55.1,485.0,602.0,117.0,3.0,33.1,1180.76
veh55.2,488.0,604.0,116.0,3.0,31.39,1180.76
veh55.3,491.0,606.0,115.0,1.0,34.38,1180.76
veh46,403.0,607.0,204.0,40.0,89.36,1773.0
veh55.4,494.0,607.0,113.0,1.0,30.73,1180.76
veh58,508.0,607.0,99.0,0.0,27.05,1122.39
veh55.5,497.0,609.0,112.0,1.0,30.59,1185.89
veh46.1,406.0,610.0,204.0,41.0,88.93,1773.0
veh54.6,482.0,610.0,128.0,21.0,53.89,1037.37
veh54.9,485.0,611.0,126.0,20.0,57.38,1037.37
veh54.4,479.0,613.0,134.0,20.0,50.85,1037.37
veh54.7,482.0,615.0,133.0,20.0,60.7,1037.37
veh65,569.0,615.0,46.0,3.0,19.28,425.72
veh49.7,451.0,616.0,165.0,15.0,45.53,1554.58
veh49.8,454.0,618.0,164.0,13.0,63.25,1554.58
